epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;50.5409;0.66007;1.20658;1.10533;0.6775;0.69698;0.70381;0.47909;1.21822;1.67573;1.55662;0.00047509;0.00047509;0.00047509
1;63.8576;0.66007;1.20658;1.10533;0.6775;0.69698;0.70381;0.47909;1.21822;1.67573;1.55662;0.00047509;0.00047509;0.00047509
1;68.5161;0.66824;1.1951;1.10806;0.65213;0.69377;0.69633;0.47417;1.19843;1.74106;1.42685;0.000475401;0.000475401;0.000475401
2;129;0.6236;0.74761;1.06588;0.8374;0.78061;0.82528;0.6107;1.02239;1.14955;1.33461;0.00093289;0.00093289;0.00093289
1;53.7614;0.66824;1.1951;1.10806;0.65213;0.69377;0.69633;0.47417;1.19843;1.74106;1.42685;0.000475401;0.000475401;0.000475401
2;114.69;0.6236;0.74761;1.06588;0.8374;0.78061;0.82528;0.6107;1.02239;1.14955;1.33461;0.00093289;0.00093289;0.00093289
3;167.321;0.60521;0.67522;1.05969;0.61268;0.60691;0.64281;0.45261;1.26832;1.46818;1.49729;0.00137152;0.00137152;0.00137152
4;210.011;0.58389;0.63094;1.05106;0.46963;0.67949;0.61449;0.45265;1.00504;1.44643;1.27493;0.00134412;0.00134412;0.00134412
5;253.336;0.55955;0.58706;1.03846;0.87371;0.82484;0.87617;0.65922;1.00071;0.83259;1.28997;0.00131582;0.00131582;0.00131582
6;306.393;0.55045;0.56288;1.03093;0.90159;0.77984;0.85437;0.70595;0.80011;0.82316;1.07407;0.00128753;0.00128753;0.00128753
7;349.257;0.53248;0.53573;1.02219;0.80589;0.78302;0.82396;0.61603;0.9526;0.98949;1.24248;0.00125923;0.00125923;0.00125923
8;392.583;0.52586;0.52296;1.01651;0.81276;0.76215;0.81527;0.61885;0.91695;0.95141;1.18368;0.00123094;0.00123094;0.00123094
9;437.28;0.51764;0.51184;1.01529;0.87683;0.8097;0.87373;0.68274;0.89586;0.77602;1.19892;0.00120265;0.00120265;0.00120265
10;497.008;0.51342;0.50492;1.01462;0.89748;0.82488;0.89059;0.70304;0.89156;0.76366;1.17956;0.00117435;0.00117435;0.00117435
11;556.061;0.48847;0.47607;1.00086;0.86535;0.80183;0.86352;0.70242;0.79272;0.78603;1.08832;0.00114606;0.00114606;0.00114606
